  [s] klepto_unused_1                                = [s] hagetaka_patch
  [s] klepto_seg5_texture_05000008                   = [s] erimaki_txt
  [s] klepto_seg5_texture_05000808                   = [s] omeme2_txt
  [s] klepto_seg5_texture_05001008                   = [s] kuchibashi2_txt
  [s] klepto_seg5_texture_05002008                   = [s] hane_txt
  [s] klepto_seg5_texture_05003008                   = [s] shippo_txt
  [s] klepto_seg5_lights_05003808                    = [s] light_tori_head
  [s] klepto_seg5_lights_05003820                    = ? (0x3820)
  [s] klepto_seg5_vertex_05003838                    = [s] vtx_tori_head_0
  [s] klepto_seg5_vertex_05003898                    = [s] vtx_tori_head_1
  [s] klepto_seg5_vertex_05003988                    = ? (0x3988)
  [s] klepto_seg5_vertex_050039B8                    = [s] vtx_tori_head_2
  klepto_seg5_dl_05003A68                            = [s] gfx_tori_head_0
  klepto_seg5_dl_05003AC0                            = [s] gfx_tori_head_1
  klepto_seg5_dl_05003B40                            = [s] gfx_tori_head_2
  klepto_seg5_dl_05003BD0                            = gfx_tori_head
  [s] klepto_seg5_lights_05003C58                    = [s] light_tori_neck
  [s] klepto_seg5_vertex_05003C70                    = [s] vtx_tori_neck_0
  klepto_seg5_dl_05003D00                            = [s] gfx_tori_neck_0
  klepto_seg5_dl_05003D80                            = gfx_tori_neck
  [s] klepto_seg5_lights_05003DB0                    = [s] light_tori_erimaki
  [s] klepto_seg5_vertex_05003DC8                    = [s] vtx_tori_erimaki_0
  klepto_seg5_dl_05003E68                            = [s] gfx_tori_erimaki_0
  klepto_seg5_dl_05003F20                            = gfx_tori_erimaki
  [s] klepto_seg5_lights_05003F80                    = [s] light_tori_body
  [s] klepto_seg5_vertex_05003F98                    = [s] vtx_tori_body_0
  klepto_seg5_dl_05004058                            = [s] gfx_tori_body_0
  klepto_seg5_dl_05004118                            = gfx_tori_body
  [s] klepto_seg5_lights_05004148                    = [s] light_tori_tail
  [s] klepto_seg5_vertex_05004160                    = [s] vtx_tori_tail_0
  klepto_seg5_dl_050041A0                            = [s] gfx_tori_tail_0
  klepto_seg5_dl_050041E8                            = gfx_tori_tail
  [s] klepto_seg5_lights_05004258                    = [s] light_tori_Lleg
  [s] klepto_seg5_vertex_05004270                    = [s] vtx_tori_Lleg_0
  klepto_seg5_dl_050042D0                            = [s] gfx_tori_Lleg_0
  klepto_seg5_dl_05004330                            = gfx_tori_Lleg
  [s] klepto_seg5_lights_05004360                    = [s] light_tori_Rleg
  [s] klepto_seg5_vertex_05004378                    = [s] vtx_tori_Rleg_0
  klepto_seg5_dl_050043D8                            = [s] gfx_tori_Rleg_0
  klepto_seg5_dl_05004438                            = gfx_tori_Rleg
  [s] klepto_seg5_lights_05004468                    = [s] light_tori_Lfoot
  [s] klepto_seg5_lights_05004480                    = ? (0x4480)
  [s] klepto_seg5_vertex_05004498                    = [s] vtx_tori_Lfoot_0
  [s] klepto_seg5_vertex_05004558                    = ? (0x4558)
  [s] klepto_seg5_vertex_05004648                    = ? (0x4648)
  klepto_seg5_dl_05004698                            = [s] gfx_tori_Lfoot_0
  klepto_seg5_dl_050047C8                            = gfx_tori_Lfoot
  [s] klepto_seg5_lights_050047F8                    = [s] light_tori_Rfoot
  [s] klepto_seg5_lights_05004810                    = ? (0x4810)
  [s] klepto_seg5_vertex_05004828                    = [s] vtx_tori_Rfoot_0
  [s] klepto_seg5_vertex_050048E8                    = ? (0x48e8)
  [s] klepto_seg5_vertex_050049D8                    = ? (0x49d8)
  klepto_seg5_dl_05004A28                            = [s] gfx_tori_Rfoot_0
  klepto_seg5_dl_05004B58                            = gfx_tori_Rfoot
  [s] klepto_seg5_lights_05004B88                    = [s] light_tori_Lwing1
  [s] klepto_seg5_vertex_05004BA0                    = [s] vtx_tori_Lwing1_0
  klepto_seg5_dl_05004BE0                            = [s] gfx_tori_Lwing1_0
  klepto_seg5_dl_05004C28                            = gfx_tori_Lwing1
  [s] klepto_seg5_lights_05004C98                    = [s] light_tori_Rwing1
  [s] klepto_seg5_vertex_05004CB0                    = [s] vtx_tori_Rwing1_0
  klepto_seg5_dl_05004CF0                            = [s] gfx_tori_Rwing1_0
  klepto_seg5_dl_05004D38                            = gfx_tori_Rwing1
  [s] klepto_seg5_lights_05004DA8                    = [s] light_tori_Lwing2
  [s] klepto_seg5_vertex_05004DC0                    = [s] vtx_tori_Lwing2_0
  klepto_seg5_dl_05004E00                            = [s] gfx_tori_Lwing2_0
  klepto_seg5_dl_05004E48                            = gfx_tori_Lwing2
  [s] klepto_seg5_lights_05004EB8                    = [s] light_tori_Rwing2
  [s] klepto_seg5_vertex_05004ED0                    = [s] vtx_tori_Rwing2_0
  klepto_seg5_dl_05004F10                            = [s] gfx_tori_Rwing2_0
  klepto_seg5_dl_05004F58                            = gfx_tori_Rwing2
  [s] klepto_seg5_lights_05004FC8                    = [s] light_tori_Lwing3
  [s] klepto_seg5_vertex_05004FE0                    = [s] vtx_tori_Lwing3_0
  klepto_seg5_dl_05005020                            = [s] gfx_tori_Lwing3_0
  klepto_seg5_dl_05005068                            = gfx_tori_Lwing3
  [s] klepto_seg5_lights_050050D8                    = [s] light_tori_Rwing3
  [s] klepto_seg5_vertex_050050F0                    = [s] vtx_tori_Rwing3_0
  klepto_seg5_dl_05005130                            = [s] gfx_tori_Rwing3_0
  klepto_seg5_dl_05005178                            = gfx_tori_Rwing3
  [s] klepto_seg5_animvalue_050051E8                 = [s] hagetaka_anim_fly_prm
