  [s] birds_seg5_lights_05000000                     = [s] light_Bbird_fly
  [s] birds_seg5_lights_05000018                     = ? (0x18)
  [s] birds_seg5_lights_05000030                     = ? (0x30)
  [s] birds_seg5_vertex_05000048                     = [s] vtx_Bbird_fly0
  [s] birds_seg5_vertex_050000D8                     = [s] vtx_Bbird_fly1
  [s] birds_seg5_vertex_05000108                     = ? (0x108)
  [s] birds_seg5_vertex_05000138                     = ? (0x138)
  [s] birds_seg5_vertex_05000168                     = [s] vtx_Bbird_fly2
  [s] birds_seg5_vertex_050001F8                     = [s] vtx_Bbird_fly3
  [s] birds_seg5_vertex_050002F8                     = ? (0x2f8)
  [s] birds_seg5_vertex_050003F8                     = ? (0x3f8)
  [s] birds_seg5_vertex_05000428                     = ? (0x428)
  [s] birds_seg5_vertex_050004C8                     = ? (0x4c8)
  birds_seg5_dl_05000528                             = RCP_Bbird_fly0
  birds_seg5_dl_05000598                             = RCP_Bbird_fly1
  birds_seg5_dl_05000600                             = RCP_Bbird_fly2
  birds_seg5_dl_05000670                             = RCP_Bbird_fly3
  [s] birds_seg5_animvalue_050007E0                  = [s] Bbird_fly_prm
  [s] birds_seg5_animindex_5000870                   = [s] Bbird_fly_tbl
  [s] birds_seg5_anim_050008D0                       = Bbird_fly_anm
  [s] birds_seg5_animvalue_050008E8                  = [s] Bbird_gliding_prm
  [s] birds_seg5_animindex_5000970                   = [s] Bbird_gliding_tbl
  [s] birds_seg5_anim_050009D0                       = Bbird_gliding_anm
  birds_seg5_anims_050009E8                          = minibird_anime
  [s] binid_0                                        = [s] patch_0
  [s] peach_seg5_lights_050009F8                     = [s] light_p_head
  [s] peach_seg5_lights_05000A10                     = ? (0xa10)
  [s] peach_seg5_texture_05000A28                    = [s] peach_eye_txt
  [s] peach_seg5_texture_05001228                    = [s] peach_eye1_txt
  [s] peach_seg5_texture_05001A28                    = [s] peach_eye2_txt
  [s] peach_seg5_texture_05002228                    = [s] peach_eye3_txt
  [s] peach_seg5_texture_05002A28                    = [s] peach_j_txt
  [s] peach_seg5_texture_05002C28                    = [s] peach_j2_txt
  [s] peach_seg5_texture_05002E28                    = [s] peach_lip_txt
  [s] peach_seg5_texture_05003628                    = [s] peach_lip1_txt
  [s] peach_seg5_texture_05003E28                    = [s] peach_nose_txt
  [s] peach_seg5_texture_05004028                    = [s] peach_skirt_txt
  [s] peach_seg5_vertex_05004828                     = [s] vtx_p_head_0
  [s] peach_seg5_vertex_05004928                     = ? (0x4928)
  [s] peach_seg5_vertex_05004A18                     = ? (0x4a18)
  [s] peach_seg5_vertex_05004AA8                     = [s] vtx_p_head_1
  [s] peach_seg5_vertex_05004AD8                     = [s] vtx_p_head_2
  [s] peach_seg5_vertex_05004BD8                     = ? (0x4bd8)
  [s] peach_seg5_vertex_05004CC8                     = ? (0x4cc8)
  [s] peach_seg5_vertex_05004DB8                     = ? (0x4db8)
  [s] peach_seg5_vertex_05004E38                     = [s] vtx_p_head_3
  [s] peach_seg5_vertex_05004E88                     = [s] vtx_p_head_4
  [s] peach_seg5_vertex_05004F78                     = ? (0x4f78)
  [s] peach_seg5_vertex_05005078                     = ? (0x5078)
  [s] peach_seg5_vertex_05005168                     = ? (0x5168)
  [s] peach_seg5_vertex_05005268                     = ? (0x5268)
  [s] peach_seg5_vertex_05005368                     = ? (0x5368)
  [s] peach_seg5_vertex_05005468                     = ? (0x5468)
  [s] peach_seg5_vertex_05005568                     = ? (0x5568)
  peach_seg5_dl_05005648                             = [s] gfx_p_head_0
  peach_seg5_dl_05005750                             = [s] gfx_p_head_1
  peach_seg5_dl_05005780                             = [s] gfx_p_head_2
  peach_seg5_dl_050058B8                             = [s] gfx_p_head_3
  peach_seg5_dl_050058E0                             = [s] gfx_p_head_4
  peach_seg5_dl_05005C48                             = [s] gfx_p_head_common_init
  peach_seg5_dl_05005CB0                             = [s] gfx_p_head_common_reset
  peach_seg5_dl_05005CE0                             = gfx_p_head_01
  peach_seg5_dl_05005D38                             = gfx_p_head_02
  peach_seg5_dl_05005D90                             = gfx_p_head_03
  peach_seg5_dl_05005DE8                             = gfx_p_head_04
  peach_seg5_dl_05005E40                             = gfx_p_head_05
  peach_seg5_dl_05005E98                             = gfx_p_head_06
  peach_seg5_dl_05005EF0                             = gfx_p_head_07
  peach_seg5_dl_05005F48                             = gfx_p_head_08
  [s] peach_seg5_lights_05005FA0                     = [s] light_p_neck
  [s] peach_seg5_vertex_05005FB8                     = [s] vtx_p_neck_0
  peach_seg5_dl_05006058                             = [s] gfx_p_neck_0
  peach_seg5_dl_050060E0                             = gfx_p_neck
  [s] peach_seg5_lights_05006138                     = [s] light_p_chest
  [s] peach_seg5_lights_05006150                     = ? (0x6150)
  [s] peach_seg5_vertex_05006168                     = [s] vtx_p_chest_0
  [s] peach_seg5_vertex_050061E8                     = [s] vtx_p_chest_1
  [s] peach_seg5_vertex_05006238                     = ? (0x6238)
  [s] peach_seg5_vertex_05006318                     = ? (0x6318)
  [s] peach_seg5_vertex_05006408                     = ? (0x6408)
  [s] peach_seg5_vertex_050064E8                     = ? (0x64e8)
  [s] peach_seg5_vertex_050065E8                     = ? (0x65e8)
  [s] peach_seg5_vertex_050066E8                     = ? (0x66e8)
  peach_seg5_dl_05006728                             = [s] gfx_p_chest_0
  peach_seg5_dl_05006798                             = [s] gfx_p_chest_1
  peach_seg5_dl_05006A18                             = gfx_p_chest
  [s] peach_seg5_lights_05006A90                     = [s] light_p_waist
  [s] peach_seg5_vertex_05006AA8                     = [s] vtx_p_waist_0
  [s] peach_seg5_vertex_05006BA8                     = ? (0x6ba8)
  [s] peach_seg5_vertex_05006CA8                     = ? (0x6ca8)
  [s] peach_seg5_vertex_05006DA8                     = ? (0x6da8)
