  blue_coin_switch_geo                               = RCP_HmsBCbutton
  test_platform_geo                                  = [s] biribiri_dmmy10
  dAmpGeo                                            = RCP_HmsEnemybiribiri
  [s] cannon_lid_unused_1                            = [s] biribiri_dmmy50
  cannon_base_geo                                    = RCP_HmsCannonBase
  cannon_barrel_geo                                  = RCP_HmsCannonBody
  chuckya_geo                                        = RCP_HmsEnemycarryboy
  purple_switch_geo                                  = RCP_HmsHanButton
  checkerboard_platform_geo                          = RCP_HmsHanLift
  heart_geo                                          = RCP_HmsHart
  flyguy_geo                                         = RCP_HmsEnemyheyho_fly
  breakable_box_geo                                  = RCP_HmsHibiBlock
  breakable_box_small_geo                            = RCP_HmsHibiBlock_noshadow
  bowling_ball_geo                                   = RCP_HmsIronBall
  bowling_ball_track_geo                             = RCP_HmsIronBall_noshadow
  exclamation_box_geo                                = RCP_HmsItemBox
  goomba_geo                                         = RCP_HmsEnemykuribo
  black_bobomb_geo                                   = RCP_HmsEnemyNewBlackBom
  bobomb_buddy_geo                                   = RCP_HmsEnemyNewRedBom
  metal_box_geo                                      = RCP_HmsPushBlock
  exclamation_box_outline_geo                        = RCP_HmsQBox
  koopa_shell_geo                                    = RCP_HmsSellBoard
  koopa_shell2_geo                                   = RCP_HmsRedNoko
  koopa_shell3_geo                                   = RCP_HmsGreenNoko
