  bubble_geo                                         = RCP_HmsEffectBubble
  purple_marble_geo                                  = RCP_HmsEffectSyabon
  smoke_geo                                          = RCP_HmsEffectDust
  burn_smoke_geo                                     = RCP_HmsGasB
  small_water_splash_geo                             = RCP_HmsEffectRippleA
  mario_TODO_geo_0000E0                              = RCP_HmsEffectRippleA_Red
  idle_water_wave_geo                                = RCP_HmsEffectRippleB
  wave_trail_geo                                     = RCP_HmsEffectWave
  sparkles_geo                                       = RCP_HmsEffectSpark
  water_splash_geo                                   = RCP_HmsEffectWaterColumn
  sparkles_animation_geo                             = RCP_HmsStarFlash
  mario_geo_face_and_wings                           = [s] RCP_NOR_NearMarioHead
  mario_geo_left_hand                                = [s] RCP_NOR_NearMarioLeftHand
  mario_geo_right_hand                               = [s] RCP_NOR_NearMarioRightHand
  mario_geo_body                                     = [s] RCP_NOR_NearMarioHierarchy
  mario_geo_medium_poly_left_hand                    = [s] RCP_NOR_MidMarioLeftHand
  mario_geo_medium_poly_right_hand                   = [s] RCP_NOR_MidMarioRightHand
  mario_geo_medium_poly_body                         = [s] RCP_NOR_MidMarioHierarchy
  mario_geo_low_poly_face_and_wings                  = [s] RCP_NOR_FarMarioHead
  mario_geo_low_poly_left_hand                       = [s] RCP_NOR_FarMarioLeftHand
  mario_geo_low_poly_right_hand                      = [s] RCP_NOR_FarMarioRightHand
  mario_geo_low_poly_body                            = [s] RCP_NOR_FarMarioHierarchy
  mario_vanish_geo_face_and_wings                    = [s] RCP_XLU_NearMarioHead
  mario_vanish_geo_left_hand                         = [s] RCP_XLU_NearMarioLeftHand
  mario_vanish_geo_right_hand                        = [s] RCP_XLU_NearMarioRightHand
  mario_vanish_geo_body                              = [s] RCP_XLU_NearMarioHierarchy
  mario_vanish_geo_medium_poly_left_hand             = [s] RCP_XLU_MidMarioLeftHand
  mario_vanish_geo_medium_poly_right_hand            = [s] RCP_XLU_MidMarioRightHand
  mario_vanish_geo_medium_poly_body                  = [s] RCP_XLU_MidMarioHierarchy
  mario_vanish_geo_low_poly_face_and_wings           = [s] RCP_XLU_FarMarioHead
  mario_vanish_geo_low_poly_left_hand                = [s] RCP_XLU_FarMarioLeftHand
  mario_vanish_geo_low_poly_right_hand               = [s] RCP_XLU_FarMarioRightHand
  mario_vanish_geo_low_poly_body                     = [s] RCP_XLU_FarMarioHierarchy
  mario_metal_geo_face_and_wings                     = [s] RCP_MTL_NearMarioHead
  mario_metal_geo_left_hand                          = [s] RCP_MTL_NearMarioLeftHand
  mario_metal_geo_right_hand                         = [s] RCP_MTL_NearMarioRightHand
  mario_metal_geo_body                               = [s] RCP_MTL_NearMarioHierarchy
  mario_metal_geo_medium_poly_left_hand              = [s] RCP_MTL_MidMarioLeftHand
  mario_metal_geo_medium_poly_right_hand             = [s] RCP_MTL_MidMarioRightHand
  mario_metal_geo_medium_poly_body                   = [s] RCP_MTL_MidMarioHierarchy
  mario_metal_geo_low_poly_face_and_wings            = [s] RCP_MTL_FarMarioHead
  mario_metal_geo_low_poly_left_hand                 = [s] RCP_MTL_FarMarioLeftHand
  mario_metal_geo_low_poly_right_hand                = [s] RCP_MTL_FarMarioRightHand
  mario_metal_geo_low_poly_body                      = [s] RCP_MTL_FarMarioHierarchy
  mario_metal_vanish_geo_face_and_wings              = [s] RCP_XML_NearMarioHead
  mario_metal_vanish_geo_left_hand                   = [s] RCP_XML_NearMarioLeftHand
  mario_metal_vanish_geo_right_hand                  = [s] RCP_XML_NearMarioRightHand
  mario_metal_vanish_geo_body                        = [s] RCP_XML_NearMarioHierarchy
  mario_metal_vanish_geo_medium_poly_left_hand       = [s] RCP_XML_MidMarioLeftHand
  mario_metal_vanish_geo_medium_poly_right_hand      = [s] RCP_XML_MidMarioRightHand
  mario_metal_vanish_geo_medium_poly_body            = [s] RCP_XML_MidMarioHierarchy
  mario_metal_vanish_geo_low_poly_face_and_wings     = [s] RCP_XML_FarMarioHead
  mario_metal_vanish_geo_low_poly_left_hand          = [s] RCP_XML_FarMarioLeftHand
  mario_metal_vanish_geo_low_poly_right_hand         = [s] RCP_XML_FarMarioRightHand
  mario_metal_vanish_geo_low_poly_body               = [s] RCP_XML_FarMarioHierarchy
  mario_geo_load_body                                = [s] RCP_NearMarioHierarchy
  mario_geo_load_medium_poly_body                    = [s] RCP_MidMarioHierarchy
  mario_geo_load_low_poly_body                       = [s] RCP_FarMarioHierarchy
  mario_geo_render_body                              = [s] RCP_Level_of_detail
  mario_geo                                          = RCP_MarioHierarchy
