- [camera.c]
  set_camera_shake_from_hit                          = Vieweffect
  set_environmental_camera_shake                     = Viewshake
  set_camera_shake_from_point                        = Viewshaking
  unused_set_camera_pitch_shake_env                  = ViewshakeZ
  calc_y_to_curr_floor                               = [s] CalcFieldCamYofs
  focus_on_mario                                     = [s] CalcCameraParam
  [s] set_pos_to_mario                               = [s] CalcCameraParam_Dun
  set_camera_height                                  = [s] CtrlFieldCamHeight
  look_down_slopes                                   = [s] GetFieldPitch
  pan_ahead_of_player                                = [s] TurnParallelCamera
  find_in_bounds_yaw_wdw_bob_thi                     = [s] CFC_barrier
  update_radial_camera                               = [s] CalcFieldCamera
  update_8_directions_camera                         = [s] CalcParallelCamera
  radial_camera_move                                 = [s] TurnFieldCamera
  lakitu_zoom                                        = [s] CtrlCamLongDist
  radial_camera_input_default                        = [s] CtrlFieldCamera
  update_yaw_and_dist_from_c_up                      = [s] ChangeToFieldCamera
  mode_radial_camera                                 = [s] DoFieldCamera
  mode_8_directions_camera                           = [s] DoParallelCamera
  update_outward_radial_camera                       = [s] CalcInsideCamera
  mode_outward_radial_camera                         = [s] DoInsideCamera
  update_parallel_tracking_camera                    = [s] CalcRailCamera
  update_fixed_camera                                = [s] CalcFixCamera
  update_boss_fight_camera                           = [s] CalcKuppaCamera
  unused_update_mode_5_camera                        = [s] CalcTwoPlayerCamera
  [s] stub_camera_1                                  = [s] DoTwoPlayerCamera
  mode_boss_fight_camera                             = [s] DoKuppaCamera
  mode_parallel_tracking_camera                      = [s] DoRailCamera
  mode_fixed_camera                                  = [s] DoFixCamera
  update_behind_mario_camera                         = [s] CalcWaterCamera
  mode_behind_mario                                  = [s] CtrlSwimmingCamera
  update_slide_camera                                = [s] CtrlBackCamera
  mode_behind_mario_camera                           = [s] DoWaterCamera
  nop_update_water_camera                            = [s] CalcRiverCamera
  mode_water_surface_camera                          = [s] DoRiverCamera
  update_mario_camera                                = [s] CalcDungeonCamera
  update_default_camera                              = [s] CtrlDungeonCamera
  mode_default_camera                                = [s] DDCpros
  mode_lakitu_camera                                 = [s] DoDungeonCamera
  mode_mario_camera                                  = [s] DoSpecialCamera
  update_spiral_stairs_camera                        = [s] CalcSpiralCamera
  mode_spiral_stairs_camera                          = [s] DoSpiralCamera
  update_slide_or_0f_camera                          = [s] CalcBackCamera
  [s] unused_mode_0f_camera                          = [s] DoBackCamera
  mode_slide_camera                                  = [s] DoSliderCamera
  store_lakitu_cam_info_for_c_up                     = [s] InitViewingCameraParam
  set_mode_c_up                                      = InitViewingCamera
  exit_c_up                                          = FinishViewingCamera
  update_c_up                                        = [s] CalcViewingCamera
  move_mario_head_c_up                               = [s] CtrlViewingCamera
  move_into_c_up                                     = [s] ChangeToViewingCamera
  mode_c_up_camera                                   = [s] DoViewingCamera
  update_in_cannon                                   = [s] CalcCannonCamera
  mode_cannon_camera                                 = [s] DoCannonCamera
  transition_next_state                              = InbetCamera
  transition_to_camera_mode                          = InbetGameCamera
  set_camera_mode                                    = ChangeGameCamera
  update_lakitu                                      = [s] PostCamera
  update_camera                                      = CtrlGameCamera
  reset_camera                                       = InitGameCamera
  init_camera                                        = InitCameraParam
  zoom_out_if_paused_and_outside                     = [s] PauseCamera
  select_mario_cam_mode                              = InitCamera_1st
  create_camera                                      = [s] InitCamera
  update_graph_node_camera                           = [s] ExecCamera
  geo_camera_main                                    = GameCamera

- [camlib.c]
  stub_camera_2                                      = Crou_DebugCommand
  stub_camera_3                                      = Crou_ChengeGameMode_test
  vec3f_sub                                          = SubFVector
  object_pos_to_vec3f                                = Srou_pos2FVector
  vec3f_to_object_pos                                = Srou_FVector2pos
  unused_object_angle_to_vec3s                       = Srou_rot2SVector
  evaluate_cubic_spline                              = Crou_Bspline
  move_point_along_spline                            = Crou_DosplineZ
  cam_select_alt_mode                                = SpecialMode
  set_cam_angle                                      = SpecialCamera
  set_handheld_shake                                 = Viewswing
  shake_camera_handheld                              = Crou_Viewswing
  find_c_buttons_pressed                             = Crou_Key
  update_camera_hud_status                           = Crou_CameraIconSet
  collide_with_walls                                 = CamWallCheck
  vec3f_compare                                      = Crou_sameFV
  clamp_pitch                                        = Crou_CamAngLimit
  is_within_100_units_of_mario                       = Crou_mariosamepos
  set_or_approach_f32_asymptotic                     = c_c_achase_f
  approach_f32_asymptotic_bool                       = c_achase_f
  approach_f32_asymptotic                            = c_Achase_f
  approach_s16_asymptotic_bool                       = c_achase_s
  approach_s16_asymptotic                            = c_Achase_s
  approach_vec3f_asymptotic                          = c_achase_FVector
  set_or_approach_vec3f_asymptotic                   = c_c_achase_FVector
  approach_vec3s_asymptotic                          = c_achase_SVector
  camera_approach_s16_symmetric_bool                 = c_fchase_s
  camera_approach_s16_symmetric                      = c_Fchase_s
  set_or_approach_s16_symmetric                      = c_c_fchase_s
  camera_approach_f32_symmetric_bool                 = c_fchase_f
  camera_approach_f32_symmetric                      = c_Fchase_f
  random_vec3s                                       = Crou_SetRandom_SVector
  reduce_by_dist_from_camera                         = Crou_AnglePerCamDist
