  __main__                                           = main
  empty_mem_block                                    = DelMemBlock
  into_free_memblock                                 = FreeMemBlock
  make_mem_block                                     = MakeMemBlock
  gd_free_mem                                        = Free
  gd_request_mem                                     = Alloc
  gd_add_mem_to_heap                                 = MakeAllocPool
  init_mem_block_lists                               = AllocInit
  print_list_stats                                   = PrintMemList
  mem_stats                                          = PrintMemInfo
  gd_reset_sfx                                       = snd_init
  gd_new_sfx_to_play                                 = snd_getflags
  gd_sfx_update                                      = snd_newframe
  gd_play_sfx                                        = snd_trigger
  setup_lights                                       = setup_properties
  Unknown801781DC                                    = UpdateLightPoints
  draw_shape                                         = Draw_Shape
  draw_shape_2d                                      = Draw_2DShape
  draw_light                                         = Draw_Light
  draw_material                                      = Draw_Material
  create_mtl_gddl_if_empty                           = AllocShader
  check_face_bad_vtx                                 = tester
  gd_get_colour                                      = get_colRGBptr
  Unknown80178ECC                                    = gd_triline
  draw_face                                          = Draw_Face
  draw_rect_fill                                     = Draw_FilledBox
  draw_rect_stroke                                   = Draw_Box
  Unknown801792F0                                    = Draw_ID
  draw_label                                         = Draw_Label
  draw_net                                           = Draw_Net
  draw_gadget                                        = Draw_Gadget
  draw_camera                                        = Draw_Camera
  Unknown80179ACC                                    = clr_drawnflag
  func_80179B64                                      = clr_groupdrawnflags
  world_pos_to_screen_coords                         = project_v3
  check_grabbable_click                              = Draw_Pick
  drawscene                                          = draw_scene
  draw_nothing                                       = Draw_Nothing
  draw_shape_faces                                   = Draw_ObjShape
  draw_particle                                      = Draw_Particle
  draw_bone                                          = Draw_Bone
  draw_joint                                         = Draw_Joint
  draw_group                                         = Draw_Group
  draw_plane                                         = Draw_Plane
  apply_obj_draw_fn                                  = Draw_Object
  register_light                                     = SetupLight
  Proc8017A980                                       = UpdateLight
  update_shaders                                     = UpdateShaders
  create_shape_mtl_gddls                             = AllocateShaders
  unref_8017AEDC                                     = FreeGroup
  create_shape_gddl                                  = GenShapeDispList
  create_gddl_for_shapes                             = GenAllShapeDispLists
  map_face_materials                                 = map_materials
  [s] calc_vtx_normal                                = find_thisvert_normals
  [s] find_thisface_verts                            = find_thisface_verts
  map_vertices                                       = map_vertices
  unpick_obj                                         = clr_selected
  find_closest_pickable_obj                          = set_selected
  set_view_update_camera                             = find_activecam
  update_view                                        = UpdateView
  stub_draw_objects_1                                = init_scene
  reset_bounding_box                                 = start_bound
