[s] obj_is_rendering_enabled                       = [s] i_anime_stop_check
[s] obj_get_pitch_from_vel                         = [s] i_calc_move_angleX
[s] obj_update_race_proposition_dialog             = [s] i_call_talkdemo_stop
[s] obj_set_dist_from_home                         = [s] i_distans_position
[s] obj_is_near_to_and_facing_mario                = [s] i_player_area_search
[s] obj_perform_position_op                        = [s] i_calc_speedXYZ
[s] platform_on_track_update_pos_or_spawn_ball     = [s] i_rail_move
[s] cur_obj_spin_all_dimensions                    = [s] i_calc_rotation_position
[s] obj_rotate_yaw_and_bounce_off_walls            = [s] i_chase_angleY_wall
[s] obj_get_pitch_to_home                          = [s] i_calc_returnangleX
[s] obj_compute_vel_from_move_pitch                = [s] i_calc_3Dspeed
[s] clamp_s16                                      = [s] i_minmax_d
[s] clamp_f32                                      = [s] i_minmax_f
[s] cur_obj_init_anim_extend                       = [s] i_stop_skelanimeNo
[s] cur_obj_init_anim_and_check_if_end             = [s] i_set_skelanimeNo_end
[s] cur_obj_init_anim_check_frame                  = [s] i_set_skelanimeNo_number
[s] cur_obj_set_anim_if_at_end                     = [s] i_end_set_skelanimeNo
[s] cur_obj_play_sound_at_anim_range               = [s] i_anime_sound
[s] obj_turn_pitch_toward_mario                    = [s] i_calc_targetangleX
[s] approach_f32_ptr                               = [s] i_chase_f
[s] obj_forward_vel_approach                       = [s] i_chase_speedF
[s] obj_y_vel_approach                             = [s] i_chase_speedY
[s] obj_move_pitch_approach                        = [s] i_chase_angleX
[s] obj_face_pitch_approach                        = [s] i_chase_animeangleX
[s] obj_face_yaw_approach                          = [s] i_chase_animeangleY
[s] obj_face_roll_approach                         = [s] i_chase_animeangleZ
[s] obj_smooth_turn                                = [s] i_chase_smoothangle
[s] obj_roll_to_match_yaw_turn                     = [s] i_calc_bank_rotation
[s] random_linear_offset                           = [s] i_random_time
[s] random_mod_offset                              = [s] i_random_time_p
[s] obj_random_fixed_turn                          = [s] i_random_angle
[s] obj_grow_then_shrink                           = [s] i_fire_shot_check
[s] oscillate_toward                               = [s] i_calc_rotation
[s] obj_update_blinking                            = [s] i_eye_anime
[s] obj_resolve_object_collisions                  = [s] i_en_vs_en_check
[s] obj_bounce_off_walls_edges_objects             = [s] i_wall_hit_check
[s] obj_resolve_collisions_and_turn                = [s] i_wall_hit_end
[s] obj_die_if_health_non_positive                 = [s] damage_just
[s] obj_unused_die                                 = [s] damage_just_hp0
[s] obj_set_knockback_action                       = [s] damage_jump_initial
[s] obj_set_squished_action                        = [s] damage_press_initial
[s] obj_die_if_above_lava_and_health_non_positive  = [s] i_damage_BGcheck
[s] obj_handle_attacks                             = [s] i_hit_check_s
[s] obj_act_knockback                              = [s] damage_move_jump
[s] obj_act_squished                               = [s] damage_move_press
[s] obj_update_standard_actions                    = [s] i_damage_mode_check
[s] obj_check_attacks                              = [s] i_hit_check
[s] obj_move_for_one_second                        = [s] i_hit_stay
[s] treat_far_home_as_mario                        = [s] i_area_over_check
bhv_koopa_init                                     = s_noko_initial
[s] koopa_play_footstep_sound                      = [s] noko_walk_sound
[s] koopa_check_run_from_mario                     = [s] noko_escale_check
[s] koopa_shelled_act_stopped                      = [s] noko_wait
[s] koopa_walk_start                               = [s] noko_walk_start
[s] koopa_walk                                     = [s] noko_walk_search
[s] koopa_walk_stop                                = [s] noko_walk_end
[s] koopa_shelled_act_walk                         = [s] noko_walk
[s] koopa_shelled_act_run_from_mario               = [s] noko_run
[s] koopa_dive_update_speed                        = [s] noko_slip_check
[s] koopa_shelled_act_lying                        = [s] noko_attack
shelled_koopa_attack_handler                       = noko_tramp_initial
[s] koopa_shelled_update                           = [s] noko_normal_main
[s] koopa_unshelled_act_run                        = [s] noko_nude_run
[s] koopa_unshelled_act_dive                       = [s] noko_nude_attack
[s] koopa_unshelled_act_unused3                    = [s] noko_nude_down
[s] koopa_unshelled_update                         = [s] noko_nude_main
obj_begin_race                                     = [s] race_BGM_check
[s] koopa_the_quick_act_wait_before_race           = [s] noko_race_wait
[s] koopa_the_quick_act_show_init_text             = [s] noko_race_msgwait
[s] koopa_the_quick_detect_bowling_ball            = [s] rail_ironball_serach
[s] koopa_the_quick_animate_footsteps              = [s] noko_walk_anime_set
[s] koopa_the_quick_act_race                       = [s] noko_race_start
[s] koopa_the_quick_act_decelerate                 = [s] noko_race_goal
[s] koopa_the_quick_act_stop                       = [s] noko_race_stop
[s] koopa_the_quick_act_after_race                 = [s] noko_race_end
[s] koopa_the_quick_update                         = [s] noko_race_main
bhv_koopa_update                                   = s_noko
bhv_koopa_race_endpoint_update                     = s_kamegoal
bhv_pokey_body_part_update                         = s_sanbo_body
[s] pokey_act_uninitialized                        = [s] sanbo_wait
