  bhvStarDoor                                        = e_autodoor
  bhvMrI                                             = e_balloon
  bhvMrIBody                                         = e_balloon_eye
  bhvMrIParticle                                     = e_balloon_fire
  bhvPurpleParticle                                  = e_balloon_gomi
  bhvGiantPole                                       = e_ballbar
  bhvPoleGrabbing                                    = e_bar
  ? (0x148)                                          = e_bar_program_common
  bhvThiHugeIslandTop                                = e_big_futa
  bhvThiTinyIslandTop                                = e_small_futa
  bhvCapSwitchBase                                   = e_bikkuri_dodai
  bhvCapSwitch                                       = e_bikkuri_switch
  bhvKingBobomb                                      = e_bomking
  bhvBobombAnchorMario                               = e_bomking_hand
  bhvBetaChestBottom                                 = e_tbox
  bhvBetaChestLid                                    = e_box2
  bhvBubbleParticleSpawner                           = e_bubbleanime
  bhvBubbleMaybe                                     = e_bubble_main2
  bhvSmallWaterWave                                  = e_bubble_main
  bhvSmallWaterWave398                               = [s] bubble_frame
  bhvWaterAirBubble                                  = e_random_bubble
  bhvSmallParticle                                   = e_bubblejet_1
  bhvPlungeBubble                                    = e_bubblejet
  bhvSmallParticleSnow                               = e_enemy_bubblejet
  bhvSmallParticleBubbles                            = e_bubblejet_lib
  bhvFishGroup                                       = e_sel1f_bubblejet
  bhvCannon                                          = e_cannon_base
  bhvCannonBarrel                                    = e_cannon_body
  bhvCannonBaseUnused                                = e_gas_b
  bhvChuckya                                         = e_carryboy
  bhvChuckyaAnchorMario                              = e_carryboy_hand
  bhvUnused05A8                                      = e_castle_bg11
  bhvRotatingPlatform                                = e_rotland
  bhvTower                                           = e_stage24_tower_check
  bhvBulletBillCannon                                = e_stage24_killer_check
  bhvWfBreakableWallRight                            = e_castle_attackwall_1
  bhvWfBreakableWallLeft                             = e_castle_attackwall_2
  ? (0x644)                                          = [s] castle_attackwall_common
  bhvKickableBoard                                   = e_castle_attackbridge
  bhvTowerDoor                                       = e_castle_futa
  bhvRotatingCounterClockwise                        = e_castle_sidebar
  bhvWfRotatingWoodenPlatform                        = e_castle_rotbar
  bhvKoopaShellUnderwater                            = e_catchkoura
  bhvExitPodiumWarp                                  = e_tripchimney
  bhvFadingWarp                                      = e_warp
  bhvWarp                                            = e_tripchimney2
  bhvWarpPipe                                        = e_dokan
  bhvWhitePuffExplosion                              = e_chiri
  bhvSpawnedStar                                     = e_enemystar2
  bhvSpawnedStarNoLevelExit                          = e_enemystar
